사업장명,영업상태명,지번주소,도로명주소,위도,경도,행정동명
씨유 신림CS점,영업/정상,서울특별시 관악구 신림동 1474-10,"서울특별시 관악구 남부순환로 1456, 1층 (신림동)",37.4811653303462,126.912604470065,미성동
씨유 봉천두산점,영업/정상,서울특별시 관악구 봉천동 924-1,"서울특별시 관악구 봉천로33길 8, 101호, 102호 (봉천동)",37.4835444297076,126.943885595879,은천동
씨유 관악선경점,영업/정상,서울특별시 관악구 신림동 231-21,"서울특별시 관악구 신림로3가길 41, 1층 (신림동)",37.4688095794569,126.942185485941,대학동
세븐일레븐 서울낙성현대점,영업/정상,서울특별시 관악구 봉천동 151-2 원촌로즈빌,"서울특별시 관악구 솔밭로7길 21, 원촌로즈빌 지하1층 B01호 (봉천동)",37.4804058979988,126.963252872635,행운동
씨유 신림4동점,영업/정상,서울특별시 관악구 신림동 480-2,"서울특별시 관악구 조원로 143, 1층 (신림동)",37.4857360855099,126.918182108739,신사동
세븐일레븐 신림조원원룸점,영업/정상,서울특별시 관악구 신림동 570-16,"서울특별시 관악구 남부순환로131길 35, 1층 (신림동)",37.4819944660045,126.906861628246,조원동
(주)코리아세븐 뉴낙성대점,영업/정상,서울특별시 관악구 봉천동 1690-153,"서울특별시 관악구 남부순환로 1953, 1층 (봉천동)",37.47632151749,126.966222198975,행운동
주식회사 지에스25신림서부,영업/정상,서울특별시 관악구 신림동 1637-26 삼양타운,"서울특별시 관악구 신원로 34, 삼양타운 1층 (신림동)",37.4818206708457,126.929215594935,서원동
지에스(GS)25 관악세봉점,영업/정상,서울특별시 관악구 봉천동 1591-2 서울대입구삼성아파트,"서울특별시 관악구 관악로 125, 상가 101호 (봉천동, 서울대입구삼성아파트)",37.4764721426091,126.952079961311,청룡동
지에스(GS)25 관악배수지,영업/정상,서울특별시 관악구 신림동 646-273,"서울특별시 관악구 난곡로26길 89, 지하1층 (신림동)",37.469314948051,126.924448028499,난곡동
세븐일레븐 관악복은길점,영업/정상,서울특별시 관악구 신림동 106-41,"서울특별시 관악구 복은길 12, 1층 (신림동)",37.4741249275203,126.93643095973,서림동
지에스25 신림관천로점,영업/정상,서울특별시 관악구 신림동 459-4,서울특별시 관악구 관천로 107(신림동),37.4878029044799,126.921769186937,신사동
(주)코리아세븐 서울대벤처타운점,영업/정상,서울특별시 관악구 신림동 116-20,"서울특별시 관악구 신림로 140, 1층 (신림동)",37.4718303610715,126.93435453118,서림동
씨유 신림블루점,영업/정상,서울특별시 관악구 신림동 103-122,"서울특별시 관악구 서림길 112, 1층 (신림동)",37.4713838951017,126.939914434321,서림동
씨유 관악봉천로점,영업/정상,서울특별시 관악구 봉천동 965-1 아뜰어린이집,"서울특별시 관악구 봉천로23다길 23, 1층 (봉천동)",37.4875030365434,126.93697050613,보라매동
씨유(CU)관악사랑점,영업/정상,서울특별시 관악구 신림동 247-2,"서울특별시 관악구 대학길 52, 1층 (신림동)",37.4682688699968,126.937556388983,대학동
세븐일레븐 관악조원로점,영업/정상,서울특별시 관악구 신림동 534-8 한차임빌,"서울특별시 관악구 조원로17길 20, 1층 (신림동, 한차임빌)",37.4853347543356,126.910925536387,조원동
씨유 관악고시촌점,영업/정상,서울특별시 관악구 신림동 255-35,"서울특별시 관악구 대학14길 15, 1층 (신림동)",37.4663257530703,126.936715865639,대학동
(주)코리아세븐 신림드림점,영업/정상,서울특별시 관악구 신림동 606-1,서울특별시 관악구 난우길 29(신림동),37.4754569892979,126.917883664629,미성동
(주)코리아세븐 관악남현길점,영업/정상,서울특별시 관악구 남현동 1082-37,"서울특별시 관악구 남현길 58, 1층 (남현동)",37.4743022250306,126.976014331967,남현동
씨유 관악으뜸점,영업/정상,서울특별시 관악구 신림동 1554-33 부형원룸,"서울특별시 관악구 호암로20길 43, 부형원룸 (신림동)",37.4674654659189,126.934445954499,대학동
지에스(GS)25신림으뜸점,영업/정상,서울특별시 관악구 신림동 108-80,"서울특별시 관악구 복은4길 56, 1층,2층 (신림동)",37.4728896416272,126.936933264057,서림동
지에스25뉴봉천한아름,영업/정상,서울특별시 관악구 봉천동 932-1,"서울특별시 관악구 봉천로31길 6, 103, 104, 105호 (봉천동)",37.4839898410815,126.941557923112,은천동
주식회사 지에스25 봉천메트로,영업/정상,서울특별시 관악구 봉천동 870-13 신원메트로빌,"서울특별시 관악구 남부순환로 1811, 신원메트로빌 101호 (봉천동)",37.4817481992415,126.951459046892,중앙동
서울관악지역자활센터 GS25신림대학점,영업/정상,서울특별시 관악구 신림동 1524-4,"서울특별시 관악구 신림로23길 22, 1층 (신림동)",37.470004623759,126.934643712742,대학동
지에스25 관악드림타운점,영업/정상,서울특별시 관악구 봉천동 1712-1 관악드림타운아파트,"서울특별시 관악구 구암길 98, 관악드림타운아파트 분산상가동 1층 105,106,109,110호 (봉천동)",37.4917462810627,126.947156097534,성현동
씨유 관악은천로점,영업/정상,서울특별시 관악구 봉천동 956-2,"서울특별시 관악구 은천로 24, 1층 (봉천동)",37.4861148057584,126.937901209976,은천동
세븐일레븐 신림별빛거리점,영업/정상,서울특별시 관악구 신림동 1587-24,"서울특별시 관악구 관천로 29-1, 1층 (신림동)",37.4823688689778,126.927473115845,신원동
씨유 관악뉴포레점,영업/정상,서울특별시 관악구 신림동 1644-1,"서울특별시 관악구 조원로 5-14, 1층 (신림동)",37.4840592690026,126.903667903075,조원동
지에스25 신림복은점,영업/정상,서울특별시 관악구 신림동 99-29,"서울특별시 관악구 복은길 60, 1층 (신림동)",37.4745239072927,126.939194045505,서림동
씨유 관악동방점,영업/정상,서울특별시 관악구 신림동 1554,"서울특별시 관악구 신림로23길 49, 1층 (신림동)",37.4687286673731,126.934743057508,대학동
GS25 현대시장점,영업/정상,서울특별시 관악구 봉천동 493-4 현대팰리스,"서울특별시 관악구 양녕로 62, 1층 103호 (봉천동, 현대팰리스)",37.4875706034997,126.946848433341,성현동
GS25 신림고시촌점,영업/정상,서울특별시 관악구 신림동 1546-5,"서울특별시 관악구 신림로19길 46-8, 1층 (신림동)",37.4684921546801,126.935239178886,대학동
지에스25 관악미래점,영업/정상,서울특별시 관악구 신림동 1563-66,"서울특별시 관악구 미성길 27, 1층 (신림동)",37.474614830366,126.915602984091,미성동
주식회사 지에스25신림역,영업/정상,서울특별시 관악구 신림동 1422-38 재상빌딩,"서울특별시 관악구 남부순환로 1617, 재상빌딩 1층 (신림동)",37.4845706415993,126.930280799083,신림동
(주)코리아세븐 관악봉천로점,영업/정상,서울특별시 관악구 봉천동 1661-4,"서울특별시 관악구 남부순환로 1904, 지상 1층 101호 (봉천동)",37.477865578487,126.960689887727,낙성대동
(주)코리아세븐 봉천남부점,영업/정상,서울특별시 관악구 봉천동 930-39 은혜빌딩,"서울특별시 관악구 남부순환로 1716, 은혜빌딩 지상1층 (봉천동)",37.4825397376028,126.940613730465,청룡동
(주)코리아세븐 서울대제일점,영업/정상,서울특별시 관악구 봉천동 857-1,"서울특별시 관악구 남부순환로 1830, 제지상1층 101호 (봉천동)",37.4807765220933,126.953172883235,낙성대동
(주)지에스25신림누리,영업/정상,서울특별시 관악구 신림동 1438-12 로데오오피스텔,"서울특별시 관악구 신림동5가길 16, 로데오오피스텔 1층 101호 (신림동)",37.4867194585284,126.926277609124,신림동
GS25 신림터널점,영업/정상,서울특별시 관악구 신림동 1629번지 1호,서울특별시 관악구 문성로 214 (신림동),37.4791564660541,126.927561353474,신원동
GS25 관악푸르지오점,영업/정상,서울특별시 관악구 봉천동 16번지 6호,서울특별시 관악구 관악로30길 17 (봉천동),37.4865570381086,126.959006254254,청림동
