자치구,행정동,총인구수,지구대_파출소_개수,유흥업소개수,지구대_인구밀도,유흥업소_인구밀도,지구대_Scaled,유흥업소_Scaled,유흥업소_안전지표,최종_안전_점수
관악구,난향동,14435,1,1,0.692760651,0.692760651,1,0.068594389,0.931405611,95.88
관악구,서림동,25267,1,6,0.395773143,2.374638857,0.571298532,0.235127241,0.764872759,68.74
관악구,은천동,31869,1,6,0.313784556,1.882707333,0.452948006,0.186418149,0.813581851,66.93
관악구,보라매동,23479,1,7,0.425912518,2.981387623,0.614804719,0.295205077,0.704794923,66.88
관악구,신사동,24291,1,9,0.411675106,3.705075954,0.594253016,0.366861801,0.633138199,61.76
관악구,미성동,29011,1,9,0.344696839,3.102271552,0.497569887,0.30717452,0.69282548,61.47
관악구,신원동,18134,0,1,0,0.551450314,0,0.054602404,0.945397596,56.72
관악구,성현동,29682,0,3,0,1.010713564,0,0.100076814,0.899923186,54
관악구,행운동,29195,0,4,0,1.370097619,0,0.135661586,0.864338414,51.86
관악구,삼성동,20122,0,3,0,1.490905477,0,0.147623497,0.852376503,51.14
관악구,인헌동,25496,0,4,0,1.568873549,0,0.155343583,0.844656417,50.68
관악구,난곡동,24555,0,4,0,1.628996131,0,0.161296681,0.838703319,50.32
관악구,서원동,23854,1,14,0.419216903,5.86903664,0.605139599,0.581128532,0.418871468,49.34
관악구,중앙동,15598,0,3,0,1.923323503,0,0.1904398,0.8095602,48.57
관악구,청림동,14334,0,3,0,2.09292591,0,0.207233152,0.792766848,47.57
관악구,낙성대동,18371,1,14,0.544336182,7.620706548,0.785749279,0.75457188,0.24542812,46.16
관악구,청룡동,37261,0,13,0,3.488902606,0,0.34545718,0.65454282,39.27
관악구,대학동,29549,0,11,0,3.722630207,0,0.368599953,0.631400047,37.88
관악구,남현동,17436,1,17,0.573526038,9.749942647,0.827884836,0.965400321,0.034599679,35.19
관악구,조원동,21382,0,19,0,8.885978861,0,0.879854083,0.120145917,7.21
관악구,신림동,24754,0,25,0,10.09937788,0,1,0,0
