기준_년분기_코드,행정동_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,시간대_건수~06_매출_건수
20254,난곡동,철물점,65810495,3782,429,594,0
20254,난곡동,가구,19222774,50,0,0,0
20254,난곡동,화장품,53071970,2234,66,156,0
20254,난곡동,의료기기,2788976,77,0,0,0
20254,난곡동,의약품,4134162338,318140,15373,44629,0
20254,난곡동,시계및귀금속,5758407,242,11,36,0
20254,난곡동,안경,249707399,2158,254,355,0
20254,난곡동,신발,29269518,846,0,18,0
20254,난곡동,일반의류,172673881,4914,83,276,0
20254,난곡동,청과상,930758950,25504,442,1408,37
20254,난곡동,수산물판매,43761922,2068,89,66,0
20254,난곡동,육류판매,997366971,27666,657,2506,0
20254,난곡동,핸드폰,187202754,15518,354,1453,0
20254,난곡동,컴퓨터및주변장치판매,3743616,139,10,24,0
20254,난곡동,편의점,1567590014,201335,35756,52030,21365
20254,난곡동,슈퍼마켓,1002037083,106492,8760,19487,4041
20254,난곡동,노래방,224326047,26863,11613,6821,2715
20254,난곡동,세탁소,27787799,1312,144,238,0
20254,난곡동,피부관리실,5439391,38,0,18,0
20254,난곡동,미용실,350924469,9865,786,1461,5
20254,난곡동,자동차미용,15788849,201,0,6,0
20254,난곡동,자동차수리,1345081856,7092,168,1191,0
20254,난곡동,PC방,267000000,47991,19663,14593,8836
20254,난곡동,당구장,49091288,2793,28,44,175
20254,난곡동,한의원,423136564,23043,730,1645,0
20254,난곡동,치과의원,1230502228,8417,527,1119,0
20254,난곡동,일반의원,2943262259,161430,6840,21895,0
20254,난곡동,스포츠 강습,177237102,354,156,44,0
20254,난곡동,예술학원,50965785,371,0,49,0
20254,난곡동,일반교습학원,659279966,1386,6,77,0
20254,난곡동,커피-음료,388395021,95863,13869,25894,0
20254,난곡동,호프-간이주점,53269351,1265,66,56,219
20254,난곡동,분식전문점,155191761,15039,1314,2438,471
20254,난곡동,치킨전문점,563716865,18948,1612,2084,1114
20254,난곡동,패스트푸드점,67715499,4251,783,972,0
20254,난곡동,제과점,267765304,26344,1659,3659,0
20254,난곡동,한식음식점,2237787741,61176,4013,7879,44
20254,미성동,조명용품,836006027,9061,0,401,0
20254,미성동,인테리어,892139453,10415,0,781,0
20254,미성동,철물점,61174086,3186,130,377,0
20254,미성동,가전제품,3045299,30,0,0,0
20254,미성동,가구,53779665,131,5,5,0
20254,미성동,애완동물,42696743,1526,124,123,0
20254,미성동,화초,2538543,110,7,14,0
20254,미성동,섬유제품,64903678,691,0,45,0
20254,미성동,자전거 및 기타운송장비,895924450,2682,136,173,0
20254,미성동,화장품,293258535,2913,86,159,0
20254,미성동,문구,45838539,1603,80,96,0
20254,미성동,의약품,1612661967,111448,7795,11866,0
20254,미성동,시계및귀금속,1740821,18,0,0,0
20254,미성동,안경,319798227,3594,479,570,0
20254,미성동,일반의류,2406650877,33206,1557,2094,1
20254,미성동,청과상,212781385,13385,445,1316,0
20254,미성동,수산물판매,99999488,1365,38,228,0
20254,미성동,육류판매,372610243,12277,241,999,0
20254,미성동,핸드폰,79165230,8100,2114,1056,0
20254,미성동,컴퓨터및주변장치판매,588000000,373,0,0,0
20254,미성동,편의점,1127564653,112059,29847,30455,11684
20254,미성동,슈퍼마켓,4171447819,385265,45254,78118,23446
20254,미성동,노래방,107138269,855,26,193,296
20254,미성동,세탁소,89246650,3687,211,595,0
20254,미성동,피부관리실,120155687,1724,512,267,0
20254,미성동,네일숍,8562544,134,23,28,0
20254,미성동,미용실,742156821,17641,1536,2908,0
20254,미성동,자동차수리,331073561,2090,89,138,0
20254,미성동,스포츠클럽,306447775,1438,444,420,0
20254,미성동,골프연습장,78106362,1942,208,227,37
20254,미성동,당구장,21725630,1349,25,25,51
20254,미성동,한의원,149725481,7439,91,580,0
20254,미성동,치과의원,1974807702,9816,676,949,0
20254,미성동,일반의원,2057914288,67684,3798,5369,0
20254,미성동,스포츠 강습,224979211,1230,40,168,0
20254,미성동,예술학원,297325294,1705,183,408,7
20254,미성동,일반교습학원,1348521432,3480,8,405,0
20254,미성동,커피-음료,217009786,41891,6321,10771,15
20254,미성동,호프-간이주점,323726165,8586,426,1021,1296
20254,미성동,분식전문점,202096815,17565,1639,2364,5
20254,미성동,치킨전문점,103624666,4042,303,771,86
20254,미성동,패스트푸드점,29455074,2023,393,478,0
20254,미성동,제과점,415134615,34107,2562,5359,6
20254,미성동,양식음식점,108106003,3238,333,407,0
20254,미성동,중식음식점,120233275,4607,508,745,89
20254,미성동,한식음식점,2947033447,105537,7502,15172,1745
20254,삼성동,인테리어,517770193,27496,748,1246,0
20254,삼성동,가전제품,9936745,144,0,0,0
20254,삼성동,화장품,48553420,965,33,33,0
20254,삼성동,의약품,262253654,22742,760,3068,0
20254,삼성동,안경,48293388,400,34,43,0
20254,삼성동,신발,11953171,429,7,43,0
20254,삼성동,일반의류,696894482,15357,519,576,0
20254,삼성동,반찬가게,126000000,9979,443,292,0
20254,삼성동,청과상,1378969870,154837,12326,7451,0
20254,삼성동,수산물판매,2036969963,94327,1935,4269,0
20254,삼성동,육류판매,1251178770,38384,2430,1201,0
20254,삼성동,미곡판매,90000000,2011,6,52,0
20254,삼성동,슈퍼마켓,1797256916,123703,6819,19460,1448
20254,삼성동,여관,11200289,245,113,88,124
20254,삼성동,부동산중개업,399229254,1086,0,1086,0
20254,삼성동,가전제품수리,36949783,252,0,0,0
20254,삼성동,세탁소,44923653,2217,136,263,0
20254,삼성동,네일숍,8646846,240,19,10,0
20254,삼성동,미용실,150776746,4927,139,404,0
20254,삼성동,자동차수리,190914164,1155,0,163,0
20254,삼성동,한의원,336983399,14485,868,1418,0
20254,삼성동,치과의원,305767710,1987,165,446,0
20254,삼성동,일반의원,609818329,30466,1339,3098,0
20254,삼성동,스포츠 강습,5291837,18,6,0,0
20254,삼성동,예술학원,17679222,140,0,0,0
20254,삼성동,일반교습학원,220034040,891,0,0,0
20254,삼성동,커피-음료,622436,111,15,32,0
20254,삼성동,호프-간이주점,29647039,603,28,14,123
20254,삼성동,분식전문점,124825841,7690,411,1055,0
20254,삼성동,치킨전문점,7485636,385,12,59,0
20254,삼성동,패스트푸드점,469083490,45708,11614,12186,629
20254,삼성동,제과점,18575248,596,199,133,0
20254,삼성동,중식음식점,116938473,4718,179,564,0
20254,삼성동,한식음식점,771273332,32879,3673,4774,0
20254,대학동,화초,65254314,2064,731,567,0
20254,대학동,문구,370808038,12591,3432,2781,0
20254,대학동,서적,170135289,5229,840,1159,0
20254,대학동,의약품,1888851253,162563,29167,34527,1068
20254,대학동,안경,268417419,3479,1119,607,0
20254,대학동,일반의류,81804222,3744,96,0,0
20254,대학동,반찬가게,1897206988,235982,85570,66141,9683
20254,대학동,육류판매,572848273,16580,1695,2361,0
20254,대학동,편의점,2634452456,386085,137202,110568,58058
20254,대학동,슈퍼마켓,2167425560,345290,97299,85689,42135
20254,대학동,노래방,319627087,43445,19132,14045,8187
20254,대학동,부동산중개업,54000000,7482,2897,2153,0
20254,대학동,세탁소,76395551,7844,3817,2064,501
20254,대학동,피부관리실,33023499,165,7,46,0
20254,대학동,네일숍,26588211,456,102,118,0
20254,대학동,미용실,471358386,15592,3381,4162,30
20254,대학동,스포츠클럽,173199819,690,168,199,56
20254,대학동,PC방,875985045,187654,102995,42424,44743
20254,대학동,당구장,104258450,8312,559,1228,855
20254,대학동,한의원,53702569,4543,192,526,0
20254,대학동,치과의원,1440714603,10652,883,2099,0
20254,대학동,일반의원,1947983307,100886,12925,21354,0
20254,대학동,스포츠 강습,487163835,1858,166,223,0
20254,대학동,예술학원,19559035,185,0,66,0
20254,대학동,일반교습학원,470806654,1804,294,120,0
20254,대학동,커피-음료,1589692934,275644,75263,81437,2096
20254,대학동,호프-간이주점,1158092166,15219,4171,4926,4672
20254,대학동,분식전문점,954751907,88157,19922,22615,1358
20254,대학동,치킨전문점,384767588,21261,4104,5515,1481
20254,대학동,패스트푸드점,256518237,16358,4526,4745,61
20254,대학동,제과점,785105395,85516,20956,21376,279
20254,대학동,양식음식점,274659313,13609,2378,3225,101
20254,대학동,일식음식점,713690603,26778,8703,7051,1419
20254,대학동,중식음식점,377374338,24284,5149,6043,22
20254,대학동,한식음식점,5111408008,233823,47731,60976,8651
20254,조원동,조명용품,1156639,129,0,0,0
20254,조원동,인테리어,221909884,3547,36,66,0
20254,조원동,철물점,53654728,1343,33,172,0
20254,조원동,가전제품,28578049,270,0,54,0
20254,조원동,가구,50042863,827,0,83,0
20254,조원동,화초,39984842,1060,252,349,11
20254,조원동,섬유제품,1184779,45,0,0,0
20254,조원동,완구,6638344,210,0,0,0
20254,조원동,자전거 및 기타운송장비,37919179,1020,31,167,0
20254,조원동,화장품,463277723,276,0,135,18
20254,조원동,서적,416834942,762,6,0,0
20254,조원동,의료기기,138313595,387,0,77,0
20254,조원동,의약품,3314316724,222839,31747,48027,0
20254,조원동,시계및귀금속,40722221,199,0,0,0
20254,조원동,안경,1478726226,18277,7154,5374,0
20254,조원동,신발,45072970,1964,0,0,0
20254,조원동,일반의류,285016630,2123,5,30,0
20254,조원동,반찬가게,27481119077,414039,17485,41324,3298
20254,조원동,청과상,2259246514,181020,7550,19474,158
20254,조원동,수산물판매,139773155,4718,50,193,0
20254,조원동,육류판매,710166048,21307,747,2556,0
20254,조원동,미곡판매,162781215,1696,136,203,0
20254,조원동,핸드폰,3302672,88,0,0,0
