행정동코드,시도명,시군구명,읍면동명,법정동코드,법정동명,생성일자,1㎡당 환산월세,월세 건수,전세 건수,합계
1162052500,서울특별시,관악구,보라매동,1162010100,봉천동,20080901,3.06,507,127,634
1162054500,서울특별시,관악구,청림동,1162010100,봉천동,20080901,3.06,380,95,475
1162056500,서울특별시,관악구,성현동,1162010100,봉천동,20080901,3.06,711,178,889
1162057500,서울특별시,관악구,행운동,1162010100,봉천동,20080901,3.06,587,147,734
1162058500,서울특별시,관악구,낙성대동,1162010100,봉천동,20080901,3.06,310,78,388
1162059500,서울특별시,관악구,청룡동,1162010100,봉천동,20080901,3.06,696,175,871
1162060500,서울특별시,관악구,은천동,1162010100,봉천동,20080901,3.06,924,232,1156
1162061500,서울특별시,관악구,중앙동,1162010100,봉천동,20080901,3.06,333,83,416
1162062500,서울특별시,관악구,인헌동,1162010100,봉천동,20080901,3.06,526,132,658
1162063000,서울특별시,관악구,남현동,1162010300,남현동,19880423,3.07,381,94,475
1162064500,서울특별시,관악구,서원동,1162010200,신림동,20080901,2.65,378,71,449
1162065500,서울특별시,관악구,신원동,1162010200,신림동,20080901,2.65,383,72,455
1162066500,서울특별시,관악구,서림동,1162010200,신림동,20080901,2.65,494,93,587
1162068500,서울특별시,관악구,신사동,1162010200,신림동,20080901,2.65,475,89,564
1162069500,서울특별시,관악구,신림동,1162010200,신림동,20080901,2.65,408,77,485
1162071500,서울특별시,관악구,난향동,1162010200,신림동,20080901,2.65,421,79,500
1162072500,서울특별시,관악구,조원동,1162010200,신림동,20080901,2.65,464,87,551
1162073500,서울특별시,관악구,대학동,1162010200,신림동,20080901,2.65,522,98,620
1162074500,서울특별시,관악구,삼성동,1162010200,신림동,20080901,2.65,646,121,767
1162076500,서울특별시,관악구,미성동,1162010200,신림동,20080901,2.65,618,116,734
1162077500,서울특별시,관악구,난곡동,1162010200,신림동,20080901,2.65,714,134,848
