기준_년분기_코드,행정동_코드_명,서비스_업종_코드_명,점포_수,프랜차이즈_점포_수,개업_점포_수,폐업_점포_수
20251,보라매동,한식음식점,101,17,4,10
20251,보라매동,중식음식점,13,1,0,0
20251,보라매동,일식음식점,12,4,0,2
20251,보라매동,양식음식점,11,2,0,0
20251,보라매동,제과점,14,4,1,2
20251,보라매동,패스트푸드점,6,10,0,0
20251,보라매동,치킨전문점,7,10,2,1
20251,보라매동,분식전문점,19,8,1,0
20251,보라매동,호프-간이주점,33,3,1,2
20251,보라매동,커피-음료,38,10,2,2
20251,보라매동,일반교습학원,26,3,1,1
20251,보라매동,예술학원,17,0,0,1
20251,보라매동,스포츠 강습,12,0,0,0
20251,보라매동,일반의원,10,0,0,0
20251,보라매동,치과의원,9,0,0,0
20251,보라매동,한의원,8,0,0,0
20251,보라매동,동물병원,1,0,0,0
20251,보라매동,법무사사무소,1,0,0,0
20251,보라매동,기타법무서비스,3,0,1,1
20251,보라매동,세무사사무소,1,0,0,0
20251,보라매동,당구장,2,0,0,1
20251,보라매동,PC방,3,2,0,0
20251,보라매동,기타오락장,1,0,0,0
20251,보라매동,복권방,4,0,0,1
20251,보라매동,통신기기수리,1,0,0,0
20251,보라매동,스포츠클럽,6,1,0,1
20251,보라매동,자동차수리,4,0,0,0
20251,보라매동,자동차미용,2,0,0,0
20251,보라매동,모터사이클수리,2,0,0,0
20251,보라매동,미용실,55,2,0,0
20251,보라매동,네일숍,10,0,0,0
20251,보라매동,피부관리실,13,0,1,1
20251,보라매동,세탁소,20,1,1,0
20251,보라매동,가전제품수리,4,0,0,0
20251,보라매동,부동산중개업,58,0,0,2
20251,보라매동,노래방,14,1,0,1
20251,보라매동,독서실,2,0,0,0
20251,보라매동,사진관,6,0,1,0
20251,보라매동,통번역서비스,4,0,0,0
20251,보라매동,건축물청소,17,0,0,0
20251,보라매동,여행사,2,0,0,0
20251,보라매동,비디오/서적임대,1,0,0,0
20251,보라매동,가정용품임대,2,0,0,0
20251,보라매동,슈퍼마켓,14,3,0,0
20251,보라매동,편의점,5,13,1,1
20251,보라매동,컴퓨터및주변장치판매,9,0,0,0
20251,보라매동,핸드폰,20,0,0,0
20251,보라매동,주류도매,2,0,0,0
20251,보라매동,미곡판매,3,0,0,0
20251,보라매동,육류판매,12,0,0,1
20251,보라매동,수산물판매,4,0,0,0
20251,보라매동,청과상,16,0,0,0
20251,보라매동,반찬가게,15,0,0,0
20251,보라매동,일반의류,284,0,0,4
20251,보라매동,유아의류,15,0,0,0
20251,보라매동,신발,28,0,0,1
20251,보라매동,가방,11,0,0,1
20251,보라매동,안경,2,0,0,0
20251,보라매동,시계및귀금속,10,0,0,0
20251,보라매동,의약품,5,2,1,0
20251,보라매동,의료기기,3,0,0,1
20251,보라매동,서적,6,1,1,1
20251,보라매동,문구,8,1,0,0
20251,보라매동,화장품,13,1,0,2
20251,보라매동,미용재료,2,0,0,0
20251,보라매동,운동/경기용품,1,0,0,0
20251,보라매동,자전거 및 기타운송장비,2,0,0,0
20251,보라매동,섬유제품,9,0,0,0
20251,보라매동,화초,10,0,0,0
20251,보라매동,애완동물,3,0,0,0
20251,보라매동,가구,10,0,0,1
20251,보라매동,가전제품,10,0,0,0
20251,보라매동,철물점,8,0,0,1
20251,보라매동,악기,1,0,0,0
20251,보라매동,인테리어,17,0,0,0
20251,보라매동,조명용품,6,0,0,0
20251,보라매동,자동차부품,4,0,0,0
20251,보라매동,재생용품 판매점,5,0,0,0
20251,보라매동,예술품,1,0,1,0
20251,보라매동,주유소,5,0,1,0
20251,보라매동,전자상거래업,38,0,0,7
20251,청림동,한식음식점,33,3,2,4
20251,청림동,중식음식점,6,1,0,1
20251,청림동,일식음식점,0,0,0,1
20251,청림동,양식음식점,5,0,1,0
20251,청림동,제과점,2,0,0,0
20251,청림동,패스트푸드점,2,1,1,0
20251,청림동,치킨전문점,2,3,0,0
20251,청림동,분식전문점,10,1,0,1
20251,청림동,호프-간이주점,9,0,1,0
20251,청림동,커피-음료,10,5,0,2
20251,청림동,일반교습학원,37,6,1,1
20251,청림동,외국어학원,1,0,0,0
20251,청림동,예술학원,20,1,0,2
20251,청림동,스포츠 강습,14,1,0,0
20251,청림동,일반의원,3,0,0,0
20251,청림동,치과의원,5,0,0,0
20251,청림동,한의원,2,0,0,0
20251,청림동,동물병원,1,0,0,0
20251,청림동,법무사사무소,1,0,0,0
20251,청림동,세무사사무소,1,0,0,0
20251,청림동,당구장,1,0,0,0
20251,청림동,골프연습장,2,0,0,0
20251,청림동,PC방,3,0,0,0
20251,청림동,기타오락장,2,0,0,0
20251,청림동,스포츠클럽,1,1,0,0
20251,청림동,자동차수리,3,1,0,0
20251,청림동,자동차미용,2,0,0,0
20251,청림동,모터사이클수리,1,0,0,0
20251,청림동,미용실,30,1,1,0
20251,청림동,네일숍,4,0,0,0
20251,청림동,피부관리실,7,0,1,1
20251,청림동,세탁소,6,2,0,0
20251,청림동,가전제품수리,9,0,0,0
20251,청림동,부동산중개업,33,0,0,0
20251,청림동,여관,1,0,0,0
20251,청림동,게스트하우스,0,0,0,1
20251,청림동,노래방,2,0,0,0
20251,청림동,독서실,5,0,0,0
20251,청림동,녹음실,1,0,0,0
20251,청림동,사진관,7,0,0,0
20251,청림동,통번역서비스,2,0,0,0
20251,청림동,건축물청소,6,0,0,0
20251,청림동,슈퍼마켓,8,3,1,0
20251,청림동,편의점,0,2,0,0
20251,청림동,컴퓨터및주변장치판매,1,0,0,0
20251,청림동,미곡판매,1,0,0,0
20251,청림동,육류판매,3,0,0,2
20251,청림동,수산물판매,5,0,0,0
20251,청림동,청과상,2,0,0,0
20251,청림동,반찬가게,4,0,0,0
20251,청림동,일반의류,2,0,0,0
20251,청림동,시계및귀금속,1,0,0,0
20251,청림동,의약품,3,0,0,0
20251,청림동,의료기기,2,0,0,0
20251,청림동,서적,2,0,0,0
20251,청림동,문구,3,0,0,1
20251,청림동,화장품,3,0,0,0
20251,청림동,미용재료,2,0,0,0
20251,청림동,운동/경기용품,1,0,0,0
20251,청림동,자전거 및 기타운송장비,1,0,0,0
20251,청림동,섬유제품,2,0,0,0
20251,청림동,화초,1,0,0,0
20251,청림동,애완동물,1,0,0,1
20251,청림동,가전제품,1,0,0,0
20251,청림동,철물점,1,0,0,1
20251,청림동,악기,0,0,0,1
20251,청림동,인테리어,2,0,1,0
20251,청림동,조명용품,4,0,0,0
20251,청림동,중고차판매,1,0,0,0
20251,청림동,모터사이클및부품,1,0,0,0
20251,청림동,예술품,1,0,0,0
20251,청림동,주유소,1,0,0,0
20251,청림동,전자상거래업,25,0,0,2
20251,성현동,한식음식점,28,4,2,4
20251,성현동,중식음식점,4,0,0,0
20251,성현동,일식음식점,2,0,0,0
20251,성현동,양식음식점,8,0,0,2
20251,성현동,제과점,3,0,1,1
20251,성현동,패스트푸드점,0,1,0,0
20251,성현동,치킨전문점,9,8,0,0
20251,성현동,분식전문점,7,6,0,0
20251,성현동,호프-간이주점,2,0,0,0
20251,성현동,커피-음료,27,0,0,1
20251,성현동,일반교습학원,90,9,3,2
20251,성현동,외국어학원,2,0,2,0
20251,성현동,예술학원,33,1,1,1
20251,성현동,스포츠 강습,11,0,0,0
20251,성현동,일반의원,6,0,0,0
20251,성현동,치과의원,9,0,0,0
20251,성현동,한의원,6,0,0,0
20251,성현동,동물병원,2,0,0,0
20251,성현동,법무사사무소,1,0,0,0
20251,성현동,기타법무서비스,1,0,0,0
20251,성현동,당구장,3,0,0,0
20251,성현동,골프연습장,3,0,0,0
20251,성현동,PC방,2,0,0,0
20251,성현동,기타오락장,1,0,0,0
20251,성현동,복권방,1,0,0,0
20251,성현동,스포츠클럽,5,1,0,2
20251,성현동,자동차수리,5,1,0,0
20251,성현동,자동차미용,4,0,0,0
20251,성현동,모터사이클수리,1,0,0,0
20251,성현동,미용실,28,0,0,1
20251,성현동,피부관리실,7,0,0,0
20251,성현동,세탁소,9,3,0,2
20251,성현동,가전제품수리,6,1,0,0
20251,성현동,부동산중개업,46,0,0,0
20251,성현동,노래방,2,0,0,0
20251,성현동,독서실,8,6,0,0
20251,성현동,녹음실,1,0,0,0
20251,성현동,사진관,5,0,0,1
20251,성현동,통번역서비스,3,0,0,0
20251,성현동,건축물청소,18,1,0,0
20251,성현동,여행사,1,0,0,0
20251,성현동,비디오/서적임대,1,0,0,0
20251,성현동,의류임대,1,0,0,0
20251,성현동,가정용품임대,5,0,0,0
20251,성현동,슈퍼마켓,12,5,0,0
20251,성현동,편의점,3,7,2,1
20251,성현동,컴퓨터및주변장치판매,10,0,0,0
20251,성현동,핸드폰,3,0,0,0
20251,성현동,미곡판매,1,0,0,0
20251,성현동,육류판매,4,0,0,0
20251,성현동,수산물판매,3,0,0,0
20251,성현동,청과상,6,0,0,0
20251,성현동,반찬가게,7,0,0,0
20251,성현동,일반의류,10,0,0,0
20251,성현동,한복점,1,0,0,0
20251,성현동,신발,1,0,0,0
20251,성현동,가방,1,0,0,0
20251,성현동,안경,1,0,0,0
20251,성현동,시계및귀금속,1,0,0,0
20251,성현동,의약품,8,1,0,0
20251,성현동,의료기기,2,0,0,0
20251,성현동,서적,11,1,1,0
20251,성현동,문구,3,0,0,0
20251,성현동,화장품,6,0,0,1
20251,성현동,미용재료,2,0,0,0
20251,성현동,자전거 및 기타운송장비,1,0,0,0
20251,성현동,완구,1,0,0,1
20251,성현동,섬유제품,3,0,0,0
20251,성현동,화초,8,0,0,1
20251,성현동,애완동물,1,0,1,0
20251,성현동,가전제품,1,0,0,0
20251,성현동,철물점,6,0,0,0
20251,성현동,악기,1,0,0,0
20251,성현동,인테리어,3,0,0,0
20251,성현동,조명용품,5,0,0,0
20251,성현동,자동차부품,3,0,0,0
20251,성현동,모터사이클및부품,2,0,1,0
20251,성현동,재생용품 판매점,2,0,0,0
20251,성현동,예술품,1,0,0,0
20251,성현동,전자상거래업,32,0,0,3
20251,행운동,한식음식점,115,17,3,6
20251,행운동,중식음식점,7,1,0,1
20251,행운동,일식음식점,16,3,0,0
20251,행운동,양식음식점,16,5,1,0
20251,행운동,제과점,13,3,0,2
20251,행운동,패스트푸드점,8,14,1,1
20251,행운동,치킨전문점,6,10,0,1
20251,행운동,분식전문점,25,10,3,0
20251,행운동,호프-간이주점,35,1,0,0
20251,행운동,커피-음료,47,11,2,0
20251,행운동,일반교습학원,45,7,1,3
20251,행운동,외국어학원,2,0,1,0
20251,행운동,예술학원,35,2,0,3
20251,행운동,컴퓨터학원,4,0,0,0
20251,행운동,스포츠 강습,25,1,1,0
20251,행운동,일반의원,32,0,0,0
